         9880216 function calls (9817690 primitive calls) in 8.337 seconds

   Ordered by: cumulative time
   List reduced from 876 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.027    0.027    8.337    8.337 governed_benchmark.py:93(<lambda>)
        1    0.273    0.273    8.311    8.311 behavioral_baseline.py:729(build_behavioral_baseline)
        1    0.029    0.029    3.206    3.206 behavioral_baseline.py:371(_learn_distributions)
       27    0.468    0.017    2.358    0.087 behavioral_baseline.py:290(_signal_characteristics)
      507    0.068    0.000    2.210    0.004 behavioral_baseline.py:145(_correlation)
        1    0.023    0.023    1.727    1.727 behavioral_baseline.py:518(_learn_relationship_graph)
       27    0.226    0.008    1.704    0.063 behavioral_baseline.py:400(_relationship_edge)
     1014    1.428    0.001    1.428    0.001 {built-in method numpy.fromiter}
     1274    0.752    0.001    1.211    0.001 {built-in method builtins.sum}
        1    0.108    0.108    0.879    0.879 data_quality.py:118(profile_timestamps)
       27    0.045    0.002    0.819    0.030 behavioral_baseline.py:57(series)
   400000    0.490    0.000    0.744    0.000 behavioral_baseline.py:95(_number)
      107    0.130    0.001    0.739    0.007 behavioral_baseline.py:48(column)
        1    0.050    0.050    0.729    0.729 behavioral_baseline.py:632(_fit_expected_models)
       13    0.086    0.007    0.679    0.052 behavioral_baseline.py:579(_fit_linear_model)
        1    0.134    0.134    0.623    0.623 behavioral_baseline.py:223(_identify_modes)
        1    0.007    0.007    0.541    0.541 telemetry_normalization.py:184(build_normalization_report)
   100000    0.171    0.000    0.524    0.000 data_quality.py:284(parse_timestamp)
        1    0.006    0.006    0.507    0.507 telemetry_normalization.py:248(dataframe_from_rows)
     1160    0.003    0.000    0.472    0.000 behavioral_baseline.py:126(_mean)
   200000    0.170    0.000    0.452    0.000 behavioral_baseline.py:235(<genexpr>)
       40    0.334    0.008    0.443    0.011 behavioral_baseline.py:62(paired)
       54    0.000    0.000    0.433    0.008 behavioral_baseline.py:130(_std)
     1521    0.098    0.000    0.290    0.000 behavioral_baseline.py:137(_sequential_product_sum)
   100000    0.063    0.000    0.259    0.000 behavioral_baseline.py:216(_normalize_state)
  1200027    0.256    0.000    0.256    0.000 behavioral_baseline.py:134(<genexpr>)
   100000    0.064    0.000    0.241    0.000 data_quality.py:341(normalize_timestamp)
