         2230284 function calls (2108466 primitive calls) in 2.838 seconds

   Ordered by: cumulative time
   List reduced from 1113 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.838    2.838 governed_benchmark.py:133(run_windows)
        3    0.001    0.000    2.808    0.936 governed_benchmark.py:112(evaluate)
        3    0.006    0.002    2.806    0.935 sii_engine.py:51(evaluate_sii)
        3    0.011    0.004    2.031    0.677 sii_runner.py:430(run_sii_runner)
      720    0.161    0.000    1.905    0.003 sii_runner.py:73(ingest)
     1308    0.027    0.000    0.301    0.000 sii_runner.py:284(_regularized_covariance_matrix)
        3    0.001    0.000    0.293    0.098 phase4.py:43(evaluate_phase4)
109635/523    0.131    0.000    0.281    0.001 copy.py:118(deepcopy)
     9777    0.120    0.000    0.280    0.000 _type_check_impl.py:373(nan_to_num)
 8143/508    0.047    0.000    0.278    0.001 copy.py:217(_deepcopy_dict)
        3    0.000    0.000    0.272    0.091 temporal_math.py:20(evaluate_temporal_math)
     1308    0.017    0.000    0.214    0.000 sii_runner.py:277(_covariance_matrix)
      654    0.020    0.000    0.211    0.000 sii_runner.py:308(_baseline_mahalanobis_distances)
    17574    0.033    0.000    0.202    0.000 fromnumeric.py:2241(clip)
     1875    0.065    0.000    0.186    0.000 _function_base_impl.py:2680(cov)
5995/3540    0.010    0.000    0.184    0.000 copy.py:191(_deepcopy_list)
    18903    0.031    0.000    0.173    0.000 fromnumeric.py:51(_wrapfunc)
     9096    0.061    0.000    0.167    0.000 _methods.py:118(_mean)
      654    0.020    0.000    0.159    0.000 einsumfunc.py:1057(einsum)
     7221    0.026    0.000    0.157    0.000 fromnumeric.py:3735(mean)
     2631    0.022    0.000    0.144    0.000 _nanfunctions_impl.py:954(nanmean)
    30500    0.140    0.000    0.140    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      720    0.012    0.000    0.133    0.000 sii_runner.py:261(_windowed_history)
    11909    0.026    0.000    0.122    0.000 fromnumeric.py:2338(sum)
     1437    0.036    0.000    0.117    0.000 shape_base.py:220(vstack)
        3    0.006    0.002    0.115    0.038 temporal_math.py:223(_entropy_growth_series)
     1875    0.017    0.000    0.112    0.000 _function_base_impl.py:415(average)
    14435    0.035    0.000    0.110    0.000 fromnumeric.py:69(_wrapreduction)
    13500    0.036    0.000    0.107    0.000 fromnumeric.py:41(_wrapit)
      654    0.025    0.000    0.104    0.000 _linalg.py:2128(pinv)
      654    0.043    0.000    0.102    0.000 einsumfunc.py:742(einsum_path)
      720    0.006    0.000    0.096    0.000 _nanfunctions_impl.py:1905(nanstd)
     1440    0.032    0.000    0.095    0.000 sii_runner.py:322(_nanmean_columns)
      942    0.035    0.000    0.092    0.000 temporal_math.py:257(_column_entropy)
      720    0.027    0.000    0.089    0.000 _nanfunctions_impl.py:1715(nanvar)
