         51322029 function calls (51318172 primitive calls) in 55.379 seconds

   Ordered by: cumulative time
   List reduced from 375 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.037    0.037   55.379   55.379 governed_benchmark.py:90(<lambda>)
        1    8.954    8.954   55.342   55.342 historical_ingestion.py:1532(build_historical_ingestion)
   750011    0.613    0.000   12.418    0.000 historical_ingestion.py:181(_stable_json)
   750013    1.719    0.000   11.812    0.000 __init__.py:183(dumps)
   750013    1.432    0.000    9.701    0.000 encoder.py:183(encode)
   750000    3.738    0.000    9.330    0.000 historical_ingestion.py:797(add)
   500011    0.884    0.000    7.708    0.000 historical_ingestion.py:185(_digest)
   750013    7.564    0.000    7.564    0.000 encoder.py:205(iterencode)
   750003    4.035    0.000    6.754    0.000 historical_ingestion.py:390(_iter_source_rows)
  1500000    3.490    0.000    5.165    0.000 historical_ingestion.py:535(_parse_number)
   500002    0.721    0.000    3.228    0.000 historical_ingestion.py:450(_canonical_timestamp)
   500004    2.021    0.000    2.021    0.000 {method 'isoformat' of 'datetime.datetime' objects}
   501000    0.931    0.000    1.959    0.000 historical_ingestion.py:425(_parse_timestamp)
  1500476    1.919    0.000    1.919    0.000 {method 'update' of '_hashlib.HASH' objects}
   750000    0.370    0.000    1.891    0.000 {built-in method builtins.all}
  7252206    1.544    0.000    1.544    0.000 {method 'strip' of 'str' objects}
   750000    1.349    0.000    1.521    0.000 historical_ingestion.py:417(<genexpr>)
  6252901    1.382    0.000    1.382    0.000 {method 'get' of 'dict' objects}
        1    0.431    0.431    1.368    1.368 historical_ingestion.py:1042(_timestamp_profile)
   750000    0.553    0.000    1.076    0.000 historical_ingestion.py:766(_has_unit_marker)
  4751579    0.958    0.000    0.958    0.000 {built-in method builtins.len}
   250020    0.133    0.000    0.924    0.000 tempfile.py:636(func_wrapper)
        3    0.002    0.001    0.821    0.274 historical_ingestion.py:203(file_sha256)
   250001    0.784    0.000    0.784    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.002    0.001    0.772    0.386 upload_state_repository.py:383(persist_immutable_derived_artifact)
        2    0.738    0.369    0.738    0.369 {built-in method posix.fsync}
   500022    0.733    0.000    0.733    0.000 {built-in method _hashlib.openssl_sha256}
  2000020    0.662    0.000    0.662    0.000 {method 'replace' of 'str' objects}
   501012    0.655    0.000    0.655    0.000 {built-in method fromisoformat}
  1750057    0.618    0.000    0.618    0.000 {built-in method builtins.max}
   500022    0.594    0.000    0.594    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
  1502152    0.470    0.000    0.470    0.000 {built-in method builtins.isinstance}
  1250022    0.470    0.000    0.470    0.000 {method 'encode' of 'str' objects}
       15    0.000    0.000    0.455    0.030 __init__.py:595(__init__)
       16    0.000    0.000    0.455    0.028 __init__.py:669(update)
        6    0.159    0.026    0.455    0.076 {built-in method _collections._count_elements}
  1500071    0.412    0.000    0.412    0.000 {method 'lower' of 'str' objects}
   750012    0.391    0.000    0.391    0.000 encoder.py:105(__init__)
   750109    0.352    0.000    0.352    0.000 {method 'search' of 're.Pattern' objects}
   250000    0.327    0.000    0.327    0.000 {method 'replace' of 'datetime.datetime' objects}
   812294    0.305    0.000    0.305    0.000 {method 'add' of 'set' objects}
   750001    0.273    0.000    0.273    0.000 {method 'astimezone' of 'datetime.datetime' objects}
  1500000    0.271    0.000    0.271    0.000 {built-in method math.isfinite}
       70    0.025    0.000    0.248    0.004 {built-in method builtins.sum}
   501059    0.239    0.000    0.239    0.000 {method 'endswith' of 'str' objects}
   750058    0.230    0.000    0.230    0.000 {method 'join' of 'str' objects}
   725285    0.219    0.000    0.219    0.000 {method 'append' of 'list' objects}
   750000    0.207    0.000    0.207    0.000 {method 'to_bytes' of 'int' objects}
   250020    0.194    0.000    0.194    0.000 {built-in method builtins.sorted}
