         10425169 function calls (10345696 primitive calls) in 13.312 seconds

   Ordered by: cumulative time
   List reduced from 1132 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   13.312   13.312 governed_benchmark.py:73(<lambda>)
        1    0.012    0.012   13.311   13.311 governed_benchmark.py:60(evaluate)
        1    0.009    0.009   13.299   13.299 sii_engine.py:51(evaluate_sii)
        1    0.026    0.026    5.155    5.155 sii_runner.py:414(run_sii_runner)
     1024    0.382    0.000    4.818    0.005 sii_runner.py:72(ingest)
        1    0.002    0.002    3.049    3.049 temporal_math.py:20(evaluate_temporal_math)
        1    0.081    0.081    1.731    1.731 temporal_math.py:223(_entropy_growth_series)
       33    0.065    0.002    1.621    0.049 common.py:51(numeric_values)
     9753    0.566    0.000    1.462    0.000 temporal_math.py:257(_column_entropy)
   222330    0.325    0.000    1.459    0.000 common.py:41(finite_number)
        1    0.045    0.045    1.421    1.421 multiscale_analysis.py:45(analyze_multiscale)
   304316    0.873    0.000    1.395    0.000 data_quality.py:306(parse_numeric_value)
     3573    0.141    0.000    1.237    0.000 common.py:21(column)
        4    0.002    0.001    1.054    0.263 multiscale_analysis.py:454(_signal_metrics)
        1    0.003    0.003    1.017    1.017 phase4.py:43(evaluate_phase4)
        1    0.046    0.046    0.990    0.990 mode_conditioned_baseline.py:31(analyze_mode_conditioned_baseline)
        1    0.061    0.061    0.924    0.924 temporal_math.py:299(_correlation_drift)
    10003    0.113    0.000    0.917    0.000 operating_modes.py:230(describe_mode)
        1    0.000    0.000    0.846    0.846 phase4.py:516(_advanced_modules)
     2004    0.075    0.000    0.803    0.000 sii_runner.py:283(_regularized_covariance_matrix)
     5287    0.268    0.000    0.761    0.000 _function_base_impl.py:2680(cov)
    14235    0.293    0.000    0.691    0.000 _type_check_impl.py:373(nan_to_num)
     1002    0.053    0.000    0.645    0.001 sii_runner.py:293(_baseline_mahalanobis_distances)
    25103    0.212    0.000    0.611    0.000 _methods.py:118(_mean)
    94071    0.607    0.000    0.607    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    35482    0.102    0.000    0.600    0.000 fromnumeric.py:2241(clip)
     2004    0.050    0.000    0.583    0.000 sii_runner.py:276(_covariance_matrix)
     6323    0.079    0.000    0.575    0.000 _nanfunctions_impl.py:954(nanmean)
    19816    0.098    0.000    0.563    0.000 fromnumeric.py:3735(mean)
    51077    0.175    0.000    0.537    0.000 fromnumeric.py:69(_wrapreduction)
     3283    0.070    0.000    0.536    0.000 _function_base_impl.py:2903(corrcoef)
     1002    0.047    0.000    0.511    0.001 einsumfunc.py:1057(einsum)
    37498    0.089    0.000    0.509    0.000 fromnumeric.py:51(_wrapfunc)
    73100    0.169    0.000    0.503    0.000 data_quality.py:284(parse_timestamp)
41662/41661    0.164    0.000    0.491    0.000 {built-in method builtins.sum}
    30577    0.088    0.000    0.469    0.000 fromnumeric.py:2338(sum)
     5287    0.068    0.000    0.459    0.000 _function_base_impl.py:415(average)
        1    0.000    0.000    0.438    0.438 phase4.py:538(<lambda>)
        1    0.012    0.012    0.437    0.437 dynamical_stability.py:12(analyze_dynamical_stability)
        1    0.007    0.007    0.424    0.424 empirical_thresholds.py:30(estimate_empirical_thresholds)
        1    0.000    0.000    0.407    0.407 phase4.py:531(<lambda>)
        1    0.002    0.002    0.407    0.407 spectral_analysis.py:21(analyze_spectral_behavior)
     1002    0.100    0.000    0.369    0.000 einsumfunc.py:742(einsum_path)
    34229    0.152    0.000    0.369    0.000 {built-in method builtins.sorted}
76095/132    0.153    0.000    0.341    0.003 copy.py:118(deepcopy)
 1904/139    0.023    0.000    0.341    0.002 copy.py:217(_deepcopy_dict)
        1    0.005    0.005    0.333    0.333 baseline_analysis.py:23(build_baseline_analysis)
