         10427171 function calls (10347698 primitive calls) in 16.162 seconds

   Ordered by: cumulative time
   List reduced from 1131 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   16.162   16.162 governed_benchmark.py:73(<lambda>)
        1    0.013    0.013   16.162   16.162 governed_benchmark.py:60(evaluate)
        1    0.010    0.010   16.149   16.149 sii_engine.py:51(evaluate_sii)
        1    0.031    0.031    5.782    5.782 sii_runner.py:414(run_sii_runner)
     1024    0.407    0.000    5.337    0.005 sii_runner.py:72(ingest)
        1    0.002    0.002    3.898    3.898 temporal_math.py:20(evaluate_temporal_math)
        1    0.110    0.110    2.251    2.251 temporal_math.py:223(_entropy_growth_series)
     9753    0.722    0.000    1.875    0.000 temporal_math.py:257(_column_entropy)
       33    0.065    0.002    1.797    0.054 common.py:51(numeric_values)
   304316    1.054    0.000    1.709    0.000 data_quality.py:306(parse_numeric_value)
   222330    0.368    0.000    1.685    0.000 common.py:41(finite_number)
        1    0.038    0.038    1.531    1.531 multiscale_analysis.py:45(analyze_multiscale)
     3573    0.168    0.000    1.491    0.000 common.py:21(column)
        1    0.070    0.070    1.490    1.490 mode_conditioned_baseline.py:31(analyze_mode_conditioned_baseline)
    10003    0.171    0.000    1.381    0.000 operating_modes.py:230(describe_mode)
        4    0.002    0.000    1.116    0.279 multiscale_analysis.py:454(_signal_metrics)
        1    0.071    0.071    1.098    1.098 temporal_math.py:299(_correlation_drift)
        1    0.001    0.001    1.009    1.009 phase4.py:43(evaluate_phase4)
     2004    0.078    0.000    0.942    0.000 sii_runner.py:283(_regularized_covariance_matrix)
     5287    0.333    0.000    0.918    0.000 _function_base_impl.py:2680(cov)
        1    0.000    0.000    0.851    0.851 phase4.py:516(_advanced_modules)
     1002    0.068    0.000    0.747    0.001 sii_runner.py:293(_baseline_mahalanobis_distances)
    25103    0.252    0.000    0.734    0.000 _methods.py:118(_mean)
    94071    0.718    0.000    0.718    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    14235    0.299    0.000    0.713    0.000 _type_check_impl.py:373(nan_to_num)
    35482    0.115    0.000    0.691    0.000 fromnumeric.py:2241(clip)
     2004    0.063    0.000    0.686    0.000 sii_runner.py:276(_covariance_matrix)
        1    0.007    0.007    0.674    0.674 empirical_thresholds.py:30(estimate_empirical_thresholds)
    19816    0.112    0.000    0.670    0.000 fromnumeric.py:3735(mean)
41662/41661    0.236    0.000    0.655    0.000 {built-in method builtins.sum}
     3283    0.085    0.000    0.647    0.000 _function_base_impl.py:2903(corrcoef)
    51077    0.189    0.000    0.636    0.000 fromnumeric.py:69(_wrapreduction)
     6323    0.088    0.000    0.632    0.000 _nanfunctions_impl.py:954(nanmean)
    73100    0.203    0.000    0.619    0.000 data_quality.py:284(parse_timestamp)
    37498    0.100    0.000    0.584    0.000 fromnumeric.py:51(_wrapfunc)
     1002    0.052    0.000    0.575    0.001 einsumfunc.py:1057(einsum)
     5287    0.085    0.000    0.542    0.000 _function_base_impl.py:415(average)
    30577    0.107    0.000    0.539    0.000 fromnumeric.py:2338(sum)
    34229    0.175    0.000    0.460    0.000 {built-in method builtins.sorted}
        1    0.003    0.003    0.445    0.445 phase4.py:538(<lambda>)
        1    0.013    0.013    0.442    0.442 dynamical_stability.py:12(analyze_dynamical_stability)
        1    0.005    0.005    0.442    0.442 baseline_analysis.py:23(build_baseline_analysis)
     1002    0.119    0.000    0.412    0.000 einsumfunc.py:742(einsum_path)
        1    0.000    0.000    0.405    0.405 phase4.py:531(<lambda>)
        1    0.002    0.002    0.404    0.404 spectral_analysis.py:21(analyze_spectral_behavior)
     9756    0.254    0.000    0.388    0.000 function_base.py:25(linspace)
        1    0.072    0.072    0.370    0.370 temporal_math.py:210(_variance_growth_series)
     1024    0.036    0.000    0.369    0.000 sii_runner.py:260(_windowed_history)
    10003    0.081    0.000    0.350    0.000 operating_modes.py:287(summarize_signal)
76095/132    0.154    0.000    0.345    0.003 copy.py:118(deepcopy)
 1904/139    0.019    0.000    0.344    0.002 copy.py:217(_deepcopy_dict)
        1    0.006    0.006    0.343    0.343 empirical_thresholds.py:200(_relationship_window_correlations)
        1    0.013    0.013    0.328    0.328 mode_conditioned_baseline.py:287(_recent_feature_support)
 1410/564    0.025    0.000    0.324    0.001 copy.py:191(_deepcopy_list)
        1    0.004    0.004    0.321    0.321 sensor_health.py:20(assess_sensor_health)
     2047    0.094    0.000    0.320    0.000 shape_base.py:220(vstack)
   674205    0.301    0.000    0.301    0.000 {method 'get' of 'dict' objects}
        1    0.013    0.013    0.301    0.301 baseline_analysis.py:353(select_adaptive_baseline_window)
     1002    0.071    0.000    0.300    0.000 _linalg.py:2128(pinv)
        1    0.001    0.001    0.299    0.299 operating_modes.py:49(assess_operating_modes)
        4    0.044    0.011    0.298    0.074 common.py:129(parse_timestamps)
    73100    0.079    0.000    0.297    0.000 data_quality.py:331(normalize_timestamp)
     5260    0.179    0.000    0.295    0.000 _methods.py:151(_var)
     1773    0.045    0.000    0.289    0.000 common.py:62(paired_values)
    43000    0.043    0.000    0.281    0.000 operating_modes.py:406(numeric_value)
    20006    0.046    0.000    0.279    0.000 operating_modes.py:399(majority)
        1    0.000    0.000    0.278    0.278 evidence_fusion.py:37(fuse_evidence)
       21    0.001    0.000    0.276    0.013 evidence_fusion.py:164(_module_evidence_item)
    23000    0.023    0.000    0.273    0.000 operating_modes.py:410(timestamp_value)
     1773    0.059    0.000    0.266    0.000 common.py:87(pearson)
    19396    0.086    0.000    0.264    0.000 fromnumeric.py:41(_wrapit)
     1024    0.018    0.000    0.263    0.000 _nanfunctions_impl.py:1905(nanstd)
        3    0.022    0.007    0.259    0.086 common.py:139(timestamp_statistics)
     2048    0.077    0.000    0.250    0.000 sii_runner.py:306(_nanmean_columns)
     1024    0.069    0.000    0.243    0.000 _nanfunctions_impl.py:1715(nanvar)
     4055    0.184    0.000    0.242    0.000 shape_base.py:80(atleast_2d)
   123660    0.201    0.000    0.242    0.000 temporal_math.py:296(<genexpr>)
   788902    0.241    0.000    0.241    0.000 {method 'replace' of 'str' objects}
    35482    0.239    0.000    0.239    0.000 _methods.py:99(_clip)
        4    0.014    0.003    0.233    0.058 multiscale_analysis.py:581(_relationship_metrics)
    30363    0.191    0.000    0.217    0.000 _methods.py:76(_count_reduce_items)
398080/398030    0.191    0.000    0.215    0.000 {built-in method builtins.isinstance}
