         2574082 function calls (2435380 primitive calls) in 5.005 seconds

   Ordered by: cumulative time
   List reduced from 1132 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.005    5.005 governed_benchmark.py:84(run_windows)
        3    0.001    0.000    4.996    1.665 governed_benchmark.py:75(evaluate)
        3    0.008    0.003    4.994    1.665 sii_engine.py:51(evaluate_sii)
        3    0.020    0.007    3.496    1.165 sii_runner.py:414(run_sii_runner)
      720    0.277    0.000    3.301    0.005 sii_runner.py:72(ingest)
        3    0.001    0.000    0.602    0.201 temporal_math.py:20(evaluate_temporal_math)
     1308    0.046    0.000    0.539    0.000 sii_runner.py:283(_regularized_covariance_matrix)
     9777    0.200    0.000    0.459    0.000 _type_check_impl.py:373(nan_to_num)
      654    0.037    0.000    0.430    0.001 sii_runner.py:293(_baseline_mahalanobis_distances)
126514/403    0.197    0.000    0.427    0.001 copy.py:118(deepcopy)
 7223/424    0.083    0.000    0.423    0.001 copy.py:217(_deepcopy_dict)
     1308    0.033    0.000    0.403    0.000 sii_runner.py:276(_covariance_matrix)
        3    0.001    0.000    0.373    0.124 phase4.py:43(evaluate_phase4)
     1875    0.122    0.000    0.365    0.000 _function_base_impl.py:2680(cov)
4856/1761    0.015    0.000    0.357    0.000 copy.py:191(_deepcopy_list)
    17574    0.051    0.000    0.345    0.000 fromnumeric.py:2241(clip)
      654    0.031    0.000    0.339    0.001 einsumfunc.py:1057(einsum)
        3    0.012    0.004    0.310    0.103 temporal_math.py:223(_entropy_growth_series)
    18918    0.053    0.000    0.301    0.000 fromnumeric.py:51(_wrapfunc)
     9099    0.113    0.000    0.295    0.000 _methods.py:118(_mean)
     1413    0.103    0.000    0.261    0.000 temporal_math.py:257(_column_entropy)
     7224    0.040    0.000    0.261    0.000 fromnumeric.py:3735(mean)
    31956    0.259    0.000    0.259    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2631    0.039    0.000    0.258    0.000 _nanfunctions_impl.py:954(nanmean)
      654    0.065    0.000    0.250    0.000 einsumfunc.py:742(einsum_path)
     1875    0.041    0.000    0.226    0.000 _function_base_impl.py:415(average)
    15846    0.071    0.000    0.217    0.000 fromnumeric.py:69(_wrapreduction)
    12390    0.037    0.000    0.214    0.000 fromnumeric.py:2338(sum)
      720    0.019    0.000    0.213    0.000 sii_runner.py:260(_windowed_history)
     1437    0.056    0.000    0.187    0.000 shape_base.py:220(vstack)
    13500    0.067    0.000    0.183    0.000 fromnumeric.py:41(_wrapit)
        3    0.017    0.006    0.179    0.060 temporal_math.py:299(_correlation_drift)
      654    0.041    0.000    0.178    0.000 _linalg.py:2128(pinv)
     1440    0.061    0.000    0.168    0.000 sii_runner.py:306(_nanmean_columns)
      720    0.013    0.000    0.162    0.000 _nanfunctions_impl.py:1905(nanstd)
      720    0.048    0.000    0.148    0.000 _nanfunctions_impl.py:1715(nanvar)
