         1326430 function calls (1264553 primitive calls) in 1.124 seconds

   Ordered by: cumulative time
   List reduced from 875 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    1.124    1.124 governed_benchmark.py:93(<lambda>)
        1    0.102    0.102    1.121    1.121 behavioral_baseline.py:729(build_behavioral_baseline)
        1    0.002    0.002    0.302    0.302 behavioral_baseline.py:371(_learn_distributions)
      495    0.012    0.000    0.213    0.000 behavioral_baseline.py:145(_correlation)
       27    0.033    0.001    0.213    0.008 behavioral_baseline.py:290(_signal_characteristics)
        1    0.000    0.000    0.142    0.142 behavioral_model_repository.py:147(persist_candidate)
  341/339    0.140    0.000    0.140    0.000 {built-in method numpy.asarray}
        1    0.001    0.001    0.135    0.135 behavioral_baseline.py:518(_learn_relationship_graph)
       27    0.007    0.000    0.134    0.005 behavioral_baseline.py:400(_relationship_edge)
        4    0.000    0.000    0.119    0.030 behavioral_model_repository.py:35(_write)
     1241    0.066    0.000    0.114    0.000 {built-in method builtins.sum}
        1    0.003    0.003    0.098    0.098 sensor_health.py:20(assess_sensor_health)
       27    0.005    0.000    0.087    0.003 behavioral_baseline.py:57(series)
        1    0.006    0.006    0.086    0.086 behavioral_baseline.py:632(_fit_expected_models)
        1    0.001    0.001    0.085    0.085 telemetry_normalization.py:184(build_normalization_report)
       12    0.012    0.001    0.080    0.007 behavioral_baseline.py:579(_fit_linear_model)
      105    0.014    0.000    0.079    0.001 behavioral_baseline.py:48(column)
        1    0.010    0.010    0.079    0.079 data_quality.py:118(profile_timestamps)
    40000    0.051    0.000    0.078    0.000 behavioral_baseline.py:95(_number)
        1    0.001    0.001    0.074    0.074 telemetry_normalization.py:248(dataframe_from_rows)
        3    0.010    0.003    0.063    0.021 sensor_health.py:553(numeric_series)
        4    0.000    0.000    0.061    0.015 upload_state_repository.py:781(write_shared_state_strict)
        4    0.000    0.000    0.061    0.015 runtime_db.py:2202(upsert_latest_payload)
        4    0.000    0.000    0.058    0.014 upload_state_repository.py:549(write_local_json)
        8    0.000    0.000    0.056    0.007 __init__.py:183(dumps)
        8    0.003    0.000    0.056    0.007 encoder.py:183(encode)
        1    0.013    0.013    0.053    0.053 behavioral_baseline.py:223(_identify_modes)
    15650    0.005    0.000    0.049    0.000 encoder.py:414(_iterencode)
    18003    0.011    0.000    0.048    0.000 sensor_health.py:706(number)
    10000    0.016    0.000    0.047    0.000 data_quality.py:284(parse_timestamp)
       60    0.000    0.000    0.047    0.001 {built-in method builtins.next}
       60    0.000    0.000    0.047    0.001 runtime_db.py:74(db_connection)
75060/15650    0.034    0.000    0.044    0.000 encoder.py:334(_iterencode_dict)
       11    0.000    0.000    0.043    0.004 behavioral_model_repository.py:27(_read)
       11    0.000    0.000    0.042    0.004 upload_state_repository.py:599(read_shared_state)
       11    0.000    0.000    0.041    0.004 upload_state_repository.py:588(_read_runtime_db_state)
       11    0.000    0.000    0.041    0.004 runtime_db.py:2268(read_latest_payload)
       30    0.000    0.000    0.040    0.001 contextlib.py:141(__exit__)
       39    0.031    0.001    0.040    0.001 behavioral_baseline.py:62(paired)
       54    0.000    0.000    0.037    0.001 behavioral_baseline.py:130(_std)
    20000    0.007    0.000    0.037    0.000 behavioral_baseline.py:235(<genexpr>)
       15    0.000    0.000    0.036    0.002 runtime_db.py:91(init_runtime_db)
     1131    0.001    0.000    0.036    0.000 behavioral_baseline.py:126(_mean)
    18003    0.024    0.000    0.036    0.000 data_quality.py:306(parse_numeric_value)
       30    0.034    0.001    0.034    0.001 {method 'commit' of 'sqlite3.Connection' objects}
        2    0.000    0.000    0.029    0.014 behavioral_model_repository.py:109(verify_persisted_baseline)
       15    0.028    0.002    0.028    0.002 {method 'executescript' of 'sqlite3.Connection' objects}
        4    0.000    0.000    0.028    0.007 frame.py:694(__init__)
      450    0.006    0.000    0.027    0.000 behavioral_baseline.py:137(_sequential_product_sum)
    10000    0.007    0.000    0.027    0.000 behavioral_baseline.py:216(_normalize_state)
       68    0.020    0.000    0.026    0.000 {built-in method builtins.sorted}
   136051    0.025    0.000    0.025    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.024    0.024 datetimes.py:673(to_datetime)
        1    0.000    0.000    0.024    0.024 construction.py:506(nested_data_to_arrays)
        1    0.000    0.000    0.024    0.024 construction.py:793(to_arrays)
    98649    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
        1    0.010    0.010    0.024    0.024 construction.py:891(_list_of_dict_to_arrays)
        1    0.000    0.000    0.024    0.024 datetimes.py:314(_convert_listlike_datetimes)
        1    0.021    0.021    0.022    0.022 datetimes.py:456(_array_strptime_with_fallback)
   120027    0.022    0.000    0.022    0.000 behavioral_baseline.py:134(<genexpr>)
    79653    0.021    0.000    0.022    0.000 {built-in method builtins.max}
        3    0.004    0.001    0.021    0.007 sensor_health.py:607(abrupt_step_evidence)
    10000    0.006    0.000    0.021    0.000 data_quality.py:341(normalize_timestamp)
      450    0.001    0.000    0.021    0.000 fromnumeric.py:2879(cumsum)
        3    0.020    0.007    0.021    0.007 numeric.py:44(to_numeric)
      451    0.001    0.000    0.021    0.000 fromnumeric.py:51(_wrapfunc)
      450    0.020    0.000    0.020    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      120    0.018    0.000    0.018    0.000 {method 'execute' of 'sqlite3.Connection' objects}
        1    0.008    0.008    0.016    0.016 data_quality.py:347(estimated_sample_interval)
        4    0.000    0.000    0.016    0.004 behavioral_model_repository.py:61(read_baseline_result)
    79919    0.015    0.000    0.015    0.000 {method 'strip' of 'str' objects}
        9    0.000    0.000    0.015    0.002 statistics.py:601(median)
    10001    0.010    0.000    0.013    0.000 construction.py:915(<genexpr>)
    10000    0.013    0.000    0.013    0.000 {method 'replace' of 'datetime.datetime' objects}
        4    0.000    0.000    0.013    0.003 behavioral_model_repository.py:42(read_model)
        2    0.000    0.000    0.012    0.006 behavioral_model_repository.py:73(read_baseline_result_by_model_id)
   108436    0.011    0.000    0.011    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.011    0.006 behavioral_model_repository.py:132(read_model_index)
    47171    0.011    0.000    0.011    0.000 behavioral_baseline.py:597(<genexpr>)
    47171    0.010    0.000    0.010    0.000 behavioral_baseline.py:600(<genexpr>)
    58986    0.009    0.000    0.009    0.000 behavioral_baseline.py:73(<genexpr>)
    76006    0.008    0.000    0.008    0.000 {built-in method math.isfinite}
5266/5014    0.003    0.000    0.008    0.000 encoder.py:278(_iterencode_list)
        3    0.003    0.001    0.007    0.002 sensor_health.py:634(longest_repeated_run)
       30    0.000    0.000    0.007    0.000 contextlib.py:132(__enter__)
       30    0.006    0.000    0.006    0.000 {method 'close' of 'sqlite3.Connection' objects}
        2    0.000    0.000    0.006    0.003 behavioral_model_repository.py:65(_read_result_reference)
    18003    0.004    0.000    0.006    0.000 sensor_health.py:616(<genexpr>)
        1    0.000    0.000    0.006    0.006 telemetry_normalization.py:150(run)
    19998    0.006    0.000    0.006    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}


         1326430 function calls (1264553 primitive calls) in 1.124 seconds

   Ordered by: internal time
   List reduced from 875 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  341/339    0.140    0.000    0.140    0.000 {built-in method numpy.asarray}
        1    0.102    0.102    1.121    1.121 behavioral_baseline.py:729(build_behavioral_baseline)
     1241    0.066    0.000    0.114    0.000 {built-in method builtins.sum}
    40000    0.051    0.000    0.078    0.000 behavioral_baseline.py:95(_number)
75060/15650    0.034    0.000    0.044    0.000 encoder.py:334(_iterencode_dict)
       30    0.034    0.001    0.034    0.001 {method 'commit' of 'sqlite3.Connection' objects}
       27    0.033    0.001    0.213    0.008 behavioral_baseline.py:290(_signal_characteristics)
       39    0.031    0.001    0.040    0.001 behavioral_baseline.py:62(paired)
       15    0.028    0.002    0.028    0.002 {method 'executescript' of 'sqlite3.Connection' objects}
   136051    0.025    0.000    0.025    0.000 {method 'replace' of 'str' objects}
    18003    0.024    0.000    0.036    0.000 data_quality.py:306(parse_numeric_value)
    98649    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
   120027    0.022    0.000    0.022    0.000 behavioral_baseline.py:134(<genexpr>)
